s,H/h,S0,type,R/h
0.1,0.572,0.959292882596554,SB,1.3682042505165
0.1,0.555,0.973873940999314,SB,1.3283200417331
0.1,0.533,0.993769428064948,SB,1.2884358329498
0.1,0.501,1.02501536076454,SB,1.2218949499446
0.1,0.482,1.04502268373744,SB,1.1954342806802
0.1,0.449,1.0827446990298,SB,1.1289045979582
0.1,0.412,1.1303179608843,SB,1.0715031461148
0.1,0.38,1.17694844204859,SB,1.0228715160847
0.1,0.349,1.22810789473954,SB,0.9473816067335
0.1,0.326,1.27069241231786,SB,0.90302848491886
0.1,0.294,1.33805994876966,SB,0.85904497245268
0.125,0.321,1.600688163365,PB,0.95505617977528
0.125,0.305,1.64213678612391,PB,0.90870786516854
0.125,0.288,1.68990778165567,PB,0.84550561797753
0.125,0.271,1.74210611119759,PB,0.8497191011236
0.125,0.254,1.79946080443813,NB,0.80337078651685
0.125,0.239,1.85506998754179,NB,0.76123595505618
0.125,0.222,1.92478737965142,NB,0.72752808988764
0.125,0.201,2.02283854723497,NB,0.6811797752809
0.125,0.187,2.09719322669025,NB,0.62219101123595
0.125,0.172,2.18672931064802,NB,0.58848314606742
0.125,0.153,2.31853434860211,NB,0.54213483146067
0.125,0.487,1.29955531284275,SB,1.3469101123595
0.125,0.452,1.34893192214593,SB,1.2584269662921
0.125,0.431,1.38140369900993,SB,1.2205056179775
0.125,0.411,1.414615260191,SB,1.1404494382022
0.125,0.388,1.45593969498155,PB,1.0814606741573
0.125,0.36,1.51149947019518,PB,1.0351123595506
0.125,0.34,1.55532012349275,PB,0.98033707865168
0.125,0.312,1.62361087906424,PB,0.94241573033708
0.125,0.29,1.68407043163397,PB,0.89185393258427
0.125,0.266,1.75840306206003,PB,0.87078651685393
0.125,0.241,1.84735656541126,NB,0.83286516853933
0.125,0.568,1.20333093558481,SB,1.498595505618
0.125,0.549,1.22397649404203,SB,1.4733146067416
0.125,0.526,1.25045013448322,SB,1.4269662921348
0.125,0.489,1.29689501258542,SB,1.3089887640449
0.125,0.471,1.3214440995863,SB,1.2794943820225
0.125,0.44,1.36720271276138,SB,1.2205056179775
0.125,0.414,1.40948052360969,SB,1.1446629213483
0.125,0.374,1.48293955205117,PB,1.0856741573034
0.125,0.354,1.52425496612707,PB,1.0730337078652
0.125,0.318,1.60822085515135,PB,1.0519662921348
0.125,0.285,1.69877874959767,PB,0.96348314606742
0.17636684303351,0.333,2.21740009100278,NB,1.183491733801
0.17636684303351,0.306,2.31315888579963,NB,1.0642787733318
0.17636684303351,0.285,2.39686596063163,NB,0.99086872116849
0.17636684303351,0.274,2.44450481116219,NB,0.94043768947188
0.17636684303351,0.257,2.52405966114952,NB,0.88536560666553
0.17636684303351,0.242,2.60110865863307,NB,0.83031614736738
0.17636684303351,0.221,2.72188668386143,NB,0.74775973403373
0.17636684303351,0.207,2.81242535786887,NB,0.70643951228026
0.17636684303351,0.186,2.9669464349223,NB,0.62845627953176
0.17636684303351,0.173,3.07640229172502,NB,0.58257257298236
0.17636684303351,0.155,3.25012697863296,NB,0.52291761380163
0.17636684303351,0.48,1.84690926136966,NB,1.692792150289
0.17636684303351,0.461,1.88458493475213,NB,1.601115231223
0.17636684303351,0.437,1.93564388229499,NB,1.5276696278325
0.17636684303351,0.409,2.00080389312836,NB,1.4267429258444
0.17636684303351,0.383,2.06760127251841,NB,1.3212592029199
0.17636684303351,0.365,2.11796971369802,NB,1.2341651602283
0.17636684303351,0.338,2.20093809576645,NB,1.1195253803443
0.17636684303351,0.317,2.27267087655922,NB,1.0461153281809
0.17636684303351,0.284,2.40108208695188,NB,0.94055080701286
0.17636684303351,0.271,2.45799804049044,NB,0.87180442946744
0.17636684303351,0.238,2.6228756377736,NB,0.77539273332917
0.17636684303351,0.569,1.69632883531621,PB,2.0185124935631
0.17636684303351,0.552,1.72225176661078,PB,1.9451444564864
0.17636684303351,0.528,1.76095888644718,PB,1.8579793113404
0.17636684303351,0.498,1.81322419874747,NB,1.7478803927441
0.17636684303351,0.464,1.87848264695106,NB,1.5371359500473
0.17636684303351,0.44,1.9290338098926,NB,1.4499643410418
0.17636684303351,0.412,1.99350610385239,NB,1.3673303613944
0.17636684303351,0.386,2.05955088008218,NB,1.2709962315699
0.17636684303351,0.349,2.16597512299743,NB,1.1333677354299
0.17636684303351,0.327,2.2376507404654,NB,1.0645243999922
0.17636684303351,0.288,2.38434960374698,NB,0.97261478198479
